,op_max_wait_time,op_max_detour_time_factor,op_reservation_module,rq_type,op_rh_reservation_max_routes,op_short_term_horizon,op_module,sim_env,user_max_decision_time,scenario_name,rq_file,demand_folder,demand_type,demand_scalar,op_fleet_composition,op_vr_control_func_dict,sample,config_str
0,900,75,RollingHorizon,BasicRequest,50,900,PoolingIRSOnly,ImmediateDecisionsSimulation,0,greater_hellevoetsluis/planned/1.0/sample_0/IR_900_D+UT0.45_FB_4/,greater_hellevoetsluis/planned/1.0/sample_0.csv,greater_hellevoetsluis,reservation,1.0,flex_bus:4,func_key:distance_and_user_times;vot:0.45,sample_0,IR_900_D+UT0.45_FB_4
1,900,75,RollingHorizon,BasicRequest,50,900,PoolingIRSOnly,ImmediateDecisionsSimulation,0,greater_hellevoetsluis/planned/1.0/sample_1/IR_900_D+UT0.45_FB_4/,greater_hellevoetsluis/planned/1.0/sample_1.csv,greater_hellevoetsluis,reservation,1.0,flex_bus:4,func_key:distance_and_user_times;vot:0.45,sample_1,IR_900_D+UT0.45_FB_4
2,900,75,RollingHorizon,BasicRequest,50,900,PoolingIRSOnly,ImmediateDecisionsSimulation,0,greater_hellevoetsluis/planned/1.0/sample_2/IR_900_D+UT0.45_FB_4/,greater_hellevoetsluis/planned/1.0/sample_2.csv,greater_hellevoetsluis,reservation,1.0,flex_bus:4,func_key:distance_and_user_times;vot:0.45,sample_2,IR_900_D+UT0.45_FB_4
3,900,75,RollingHorizon,BasicRequest,50,900,PoolingIRSOnly,ImmediateDecisionsSimulation,0,greater_hellevoetsluis/planned/1.0/sample_3/IR_900_D+UT0.45_FB_4/,greater_hellevoetsluis/planned/1.0/sample_3.csv,greater_hellevoetsluis,reservation,1.0,flex_bus:4,func_key:distance_and_user_times;vot:0.45,sample_3,IR_900_D+UT0.45_FB_4
4,900,75,RollingHorizon,BasicRequest,50,900,PoolingIRSOnly,ImmediateDecisionsSimulation,0,greater_hellevoetsluis/planned/1.0/sample_4/IR_900_D+UT0.45_FB_4/,greater_hellevoetsluis/planned/1.0/sample_4.csv,greater_hellevoetsluis,reservation,1.0,flex_bus:4,func_key:distance_and_user_times;vot:0.45,sample_4,IR_900_D+UT0.45_FB_4
5,900,75,RollingHorizon,BasicRequest,50,900,PoolingIRSOnly,ImmediateDecisionsSimulation,0,greater_hellevoetsluis/planned/1.0/sample_5/IR_900_D+UT0.45_FB_4/,greater_hellevoetsluis/planned/1.0/sample_5.csv,greater_hellevoetsluis,reservation,1.0,flex_bus:4,func_key:distance_and_user_times;vot:0.45,sample_5,IR_900_D+UT0.45_FB_4
6,900,75,RollingHorizon,BasicRequest,50,900,PoolingIRSOnly,ImmediateDecisionsSimulation,0,greater_hellevoetsluis/planned/1.0/sample_6/IR_900_D+UT0.45_FB_4/,greater_hellevoetsluis/planned/1.0/sample_6.csv,greater_hellevoetsluis,reservation,1.0,flex_bus:4,func_key:distance_and_user_times;vot:0.45,sample_6,IR_900_D+UT0.45_FB_4
7,900,75,RollingHorizon,BasicRequest,50,900,PoolingIRSOnly,ImmediateDecisionsSimulation,0,greater_hellevoetsluis/planned/1.0/sample_7/IR_900_D+UT0.45_FB_4/,greater_hellevoetsluis/planned/1.0/sample_7.csv,greater_hellevoetsluis,reservation,1.0,flex_bus:4,func_key:distance_and_user_times;vot:0.45,sample_7,IR_900_D+UT0.45_FB_4
8,900,75,RollingHorizon,BasicRequest,50,900,PoolingIRSOnly,ImmediateDecisionsSimulation,0,greater_hellevoetsluis/planned/1.0/sample_8/IR_900_D+UT0.45_FB_4/,greater_hellevoetsluis/planned/1.0/sample_8.csv,greater_hellevoetsluis,reservation,1.0,flex_bus:4,func_key:distance_and_user_times;vot:0.45,sample_8,IR_900_D+UT0.45_FB_4
9,900,75,RollingHorizon,BasicRequest,50,900,PoolingIRSOnly,ImmediateDecisionsSimulation,0,greater_hellevoetsluis/planned/1.0/sample_9/IR_900_D+UT0.45_FB_4/,greater_hellevoetsluis/planned/1.0/sample_9.csv,greater_hellevoetsluis,reservation,1.0,flex_bus:4,func_key:distance_and_user_times;vot:0.45,sample_9,IR_900_D+UT0.45_FB_4
