,op_max_wait_time,op_max_detour_factor,op_depot_file,op_dyn_fs_method,op_act_fs_file,avg_fs,rq_type,op_reservation_module,op_module,sim_env,scenario_name,rq_file,demand_folder,demand_type,demand_scalar,op_fleet_composition,op_vr_control_func_dict,sample,config_str
0,3600,75,depots.csv,TimeBasedFS,line91.csv,1.555,BasicRequest,RollingHorizon,PoolingIRSOnly,ImmediateDecisionsSimulation,line91_week/0.25/sample_0/IR_D+WT_TX_2/,line91_week/0.25/sample_0.csv,line91_week,on-demand,0.25,taxi:2,func_key:IRS_study_standard,sample_0,IR_D+WT_TX_2
1,3600,75,depots.csv,TimeBasedFS,line91.csv,1.555,BasicRequest,RollingHorizon,PoolingIRSOnly,ImmediateDecisionsSimulation,line91_week/0.25/sample_1/IR_D+WT_TX_2/,line91_week/0.25/sample_1.csv,line91_week,on-demand,0.25,taxi:2,func_key:IRS_study_standard,sample_1,IR_D+WT_TX_2
2,3600,75,depots.csv,TimeBasedFS,line91.csv,1.555,BasicRequest,RollingHorizon,PoolingIRSOnly,ImmediateDecisionsSimulation,line91_week/0.25/sample_2/IR_D+WT_TX_2/,line91_week/0.25/sample_2.csv,line91_week,on-demand,0.25,taxi:2,func_key:IRS_study_standard,sample_2,IR_D+WT_TX_2
3,3600,75,depots.csv,TimeBasedFS,line91.csv,1.555,BasicRequest,RollingHorizon,PoolingIRSOnly,ImmediateDecisionsSimulation,line91_week/0.25/sample_3/IR_D+WT_TX_2/,line91_week/0.25/sample_3.csv,line91_week,on-demand,0.25,taxi:2,func_key:IRS_study_standard,sample_3,IR_D+WT_TX_2
4,3600,75,depots.csv,TimeBasedFS,line91.csv,1.555,BasicRequest,RollingHorizon,PoolingIRSOnly,ImmediateDecisionsSimulation,line91_week/0.25/sample_4/IR_D+WT_TX_2/,line91_week/0.25/sample_4.csv,line91_week,on-demand,0.25,taxi:2,func_key:IRS_study_standard,sample_4,IR_D+WT_TX_2
5,3600,75,depots.csv,TimeBasedFS,line91.csv,1.555,BasicRequest,RollingHorizon,PoolingIRSOnly,ImmediateDecisionsSimulation,line91_week/0.25/sample_5/IR_D+WT_TX_2/,line91_week/0.25/sample_5.csv,line91_week,on-demand,0.25,taxi:2,func_key:IRS_study_standard,sample_5,IR_D+WT_TX_2
6,3600,75,depots.csv,TimeBasedFS,line91.csv,1.555,BasicRequest,RollingHorizon,PoolingIRSOnly,ImmediateDecisionsSimulation,line91_week/0.25/sample_6/IR_D+WT_TX_2/,line91_week/0.25/sample_6.csv,line91_week,on-demand,0.25,taxi:2,func_key:IRS_study_standard,sample_6,IR_D+WT_TX_2
7,3600,75,depots.csv,TimeBasedFS,line91.csv,1.555,BasicRequest,RollingHorizon,PoolingIRSOnly,ImmediateDecisionsSimulation,line91_week/0.25/sample_7/IR_D+WT_TX_2/,line91_week/0.25/sample_7.csv,line91_week,on-demand,0.25,taxi:2,func_key:IRS_study_standard,sample_7,IR_D+WT_TX_2
8,3600,75,depots.csv,TimeBasedFS,line91.csv,1.555,BasicRequest,RollingHorizon,PoolingIRSOnly,ImmediateDecisionsSimulation,line91_week/0.25/sample_8/IR_D+WT_TX_2/,line91_week/0.25/sample_8.csv,line91_week,on-demand,0.25,taxi:2,func_key:IRS_study_standard,sample_8,IR_D+WT_TX_2
9,3600,75,depots.csv,TimeBasedFS,line91.csv,1.555,BasicRequest,RollingHorizon,PoolingIRSOnly,ImmediateDecisionsSimulation,line91_week/0.25/sample_9/IR_D+WT_TX_2/,line91_week/0.25/sample_9.csv,line91_week,on-demand,0.25,taxi:2,func_key:IRS_study_standard,sample_9,IR_D+WT_TX_2
